source,target,weight
Ororo Munroe,Moira MacTaggert (Earth-TRN748),464.36067977499795
Ororo Munroe,Jean Grey,464.0263112349928
Jean Grey,Ororo Munroe,464.0263112349928
Jean Grey,James Howlett,459.6656314599949
James Howlett,Jean Grey,459.6656314599949
Jean Grey,Prosh,458.94427190999915
Prosh,Jean Grey,458.94427190999915
Moira MacTaggert (Earth-TRN748),Piotr Rasputin,454.36067977499795
Piotr Rasputin,Moira MacTaggert (Earth-TRN748),454.36067977499795
Lilandra Neramani,Charles Xavier,452.36067977499795
Charles Xavier,Lilandra Neramani,452.36067977499795
Amara Aquilla,New Mutants,449.41640786499875
New Mutants,Amara Aquilla,449.41640786499875
Prosh,Scott Summers,444.47213595499954
Scott Summers,Prosh,444.47213595499954
Samuel Guthrie,Amara Aquilla,437.4164078649988
Amara Aquilla,Samuel Guthrie,437.4164078649988
Prosh,Henry McCoy,434.47213595499954
Henry McCoy,Prosh,434.47213595499954
Prosh,Robert Drake,434.47213595499954
Robert Drake,Prosh,434.47213595499954
Kurt Wagner,Lockheed,432.36067977499795
Lockheed,Kurt Wagner,432.36067977499795
X-Men,Lilandra Neramani,428.83281572999755
Lilandra Neramani,X-Men,428.83281572999755
Jean Grey,Nathan Summers,428.3606797749979
Nathan Summers,Jean Grey,428.3606797749979
Warren Worthington III,Prosh,424.47213595499954
Prosh,Warren Worthington III,424.47213595499954
Alexander Summers,Elizabeth Braddock,422.9442719099992
Elizabeth Braddock,Alexander Summers,422.9442719099992
Alison Blaire,Ororo Munroe,421.88854381999835
Ororo Munroe,Alison Blaire,421.88854381999835
X-Men,Warren Worthington III,421.7770876399967
Warren Worthington III,X-Men,421.7770876399967
Alexander Summers,Scott Summers,418.8328157299975
Scott Summers,Alexander Summers,418.8328157299975
Elizabeth Braddock,Alison Blaire,418.4721359549996
Alison Blaire,Elizabeth Braddock,418.4721359549996
Lilandra Neramani,Ororo Munroe,417.88854381999835
Ororo Munroe,Lilandra Neramani,417.88854381999835
Jean Grey,Piotr Rasputin,415.0820393249937
Piotr Rasputin,Jean Grey,415.0820393249937
Elizabeth Braddock,Piotr Rasputin,413.88854381999835
Piotr Rasputin,Elizabeth Braddock,413.88854381999835
Amara Aquilla,Rahne Sinclair,409.41640786499875
Rahne Sinclair,Amara Aquilla,409.41640786499875
Samuel Guthrie,Nathan Summers,408.94427190999915
Nathan Summers,Samuel Guthrie,408.94427190999915
Nathan Summers,Scott Summers,408.3606797749979
Scott Summers,Nathan Summers,408.3606797749979
Lockheed,Katherine Pryde,407.88854381999835
Katherine Pryde,Lockheed,407.88854381999835
Rogue (Anna Marie),Alison Blaire,405.88854381999835
Alison Blaire,Rogue (Anna Marie),405.88854381999835
James Howlett,Alison Blaire,404.36067977499795
Alison Blaire,James Howlett,404.36067977499795
Nathan Summers,X-Factor,404.3606797749979
X-Factor,Nathan Summers,404.3606797749979
Ororo Munroe,Warren Worthington III,404.2492235949963
Warren Worthington III,Ororo Munroe,404.2492235949963
Tabitha Smith,Nathan Summers,402.36067977499795
Nathan Summers,Tabitha Smith,402.36067977499795
Brian Braddock,Meggan Puceanu,402.0
Brian Braddock,Kurt Wagner,402.0
Kurt Wagner,Brian Braddock,402.0
Excalibur,Brian Braddock,402.0
Meggan Puceanu,Brian Braddock,402.0
Meggan Puceanu,Excalibur,402.0
Excalibur,Meggan Puceanu,402.0
Brian Braddock,Excalibur,402.0
New Mutants,Douglas Ramsey,401.88854381999835
Douglas Ramsey,New Mutants,401.88854381999835
Amara Aquilla,Danielle Moonstar,399.41640786499875
Danielle Moonstar,Amara Aquilla,399.41640786499875
Phoenix Force,James Howlett,398.721359549996
James Howlett,Phoenix Force,398.721359549996
Phoenix Force,X-Men,398.721359549996
X-Men,Phoenix Force,398.721359549996
Scott Summers,Phoenix Force,395.6656314599952
Phoenix Force,Scott Summers,395.6656314599952
Warlock (Technarch),Illyana Rasputina,395.41640786499875
Illyana Rasputina,Warlock (Technarch),395.41640786499875
Lilandra Neramani,Piotr Rasputin,394.36067977499795
Piotr Rasputin,Lilandra Neramani,394.36067977499795
Ororo Munroe,Phoenix Force,393.7770876399968
Phoenix Force,Ororo Munroe,393.7770876399968
Meggan Puceanu,Kurt Wagner,392.0
Rachel Summers (Earth-811),Meggan Puceanu,392.0
Rachel Summers (Earth-811),Excalibur,392.0
Excalibur,Rachel Summers (Earth-811),392.0
Meggan Puceanu,Rachel Summers (Earth-811),392.0
Excalibur,Kurt Wagner,392.0
Kurt Wagner,Meggan Puceanu,392.0
Kurt Wagner,Excalibur,392.0
Brian Braddock,Rachel Summers (Earth-811),392.0
Rachel Summers (Earth-811),Brian Braddock,392.0
X-Men,Madelyne Pryor,389.88854381999835
Madelyne Pryor,X-Men,389.88854381999835
Danielle Moonstar,Douglas Ramsey,389.4164078649988
Douglas Ramsey,Danielle Moonstar,389.4164078649988
Max Eisenhardt,New Mutants,388.94427190999915
New Mutants,Max Eisenhardt,388.94427190999915
Piotr Rasputin,Phoenix Force,388.721359549996
Phoenix Force,Piotr Rasputin,388.721359549996
Ororo Munroe,Madelyne Pryor,387.41640786499875
Madelyne Pryor,Ororo Munroe,387.41640786499875
Roberto Da Costa,Amara Aquilla,386.9442719099992
Amara Aquilla,Roberto Da Costa,386.9442719099992
Katherine Pryde,Rogue (Anna Marie),386.360679774998
Rogue (Anna Marie),Katherine Pryde,386.360679774998
X-Men,Lorna Dane,385.41640786499875
Sean Cassidy,Charles Xavier,385.41640786499875
Lorna Dane,X-Men,385.41640786499875
Charles Xavier,Sean Cassidy,385.41640786499875
Tabitha Smith,Roberto Da Costa,384.4721359549996
Roberto Da Costa,Tabitha Smith,384.4721359549996
Charles Xavier,Moira MacTaggert (Earth-TRN748),384.36067977499783
Moira MacTaggert (Earth-TRN748),Charles Xavier,384.36067977499783
James Howlett,Warren Worthington III,383.30495168499704
Warren Worthington III,James Howlett,383.30495168499704
Kurt Wagner,Moira MacTaggert (Earth-TRN748),382.36067977499795
Moira MacTaggert (Earth-TRN748),Kurt Wagner,382.36067977499795
Kurt Wagner,Lilandra Neramani,382.36067977499795
Lilandra Neramani,Kurt Wagner,382.36067977499795
Russell Collins,Sally Blevins,382.0
Sally Blevins,Russell Collins,382.0
Samuel Guthrie,Julio Richter,380.0
Julio Richter,Samuel Guthrie,380.0
Kurt Wagner,Rogue (Anna Marie),379.3049516849972
Rogue (Anna Marie),Kurt Wagner,379.3049516849972
Lilandra Neramani,James Howlett,377.88854381999835
James Howlett,Lilandra Neramani,377.88854381999835
Piotr Rasputin,Alison Blaire,375.8885438199983
Alison Blaire,Piotr Rasputin,375.8885438199983
Warren Worthington III,Nathan Summers,374.3606797749979
Nathan Summers,Warren Worthington III,374.3606797749979
X-Men,Henry McCoy,374.13776741499447
Henry McCoy,X-Men,374.13776741499447
Lilandra Neramani,Scott Summers,372.36067977499795
Scott Summers,Lilandra Neramani,372.36067977499795
Samuel Guthrie,Douglas Ramsey,371.88854381999835
Douglas Ramsey,Samuel Guthrie,371.88854381999835
Rahne Sinclair,Douglas Ramsey,369.4164078649988
Douglas Ramsey,Rahne Sinclair,369.4164078649988
Alexander Summers,Rogue (Anna Marie),368.36067977499795
Rogue (Anna Marie),Alexander Summers,368.36067977499795
X-Men,Illyana Rasputina,366.8328157299975
Illyana Rasputina,X-Men,366.8328157299975
Amara Aquilla,Illyana Rasputina,366.47213595499954
Illyana Rasputina,Amara Aquilla,366.47213595499954
Nathan Summers,Robert Drake,364.3606797749979
Henry McCoy,Nathan Summers,364.3606797749979
Nathan Summers,Henry McCoy,364.3606797749979
Robert Drake,Nathan Summers,364.3606797749979
Max Eisenhardt,X-Men,363.3049516849971
X-Men,Max Eisenhardt,363.3049516849971
Sean Cassidy,Moira MacTaggert (Earth-TRN748),362.94427190999915
Moira MacTaggert (Earth-TRN748),Sean Cassidy,362.94427190999915
Julio Richter,Roberto Da Costa,360.0
Roberto Da Costa,Julio Richter,360.0
Kurt Wagner,Phoenix Force,359.1934955049956
Phoenix Force,Kurt Wagner,359.1934955049956
Jean Grey,Cameron Hodge,358.94427190999915
Cameron Hodge,Jean Grey,358.94427190999915
Lorna Dane,James Howlett,357.8885438199983
James Howlett,Lorna Dane,357.8885438199983
Warren Worthington III,Piotr Rasputin,357.3049516849971
Piotr Rasputin,Warren Worthington III,357.3049516849971
James Howlett,Henry McCoy,355.66563145999487
Henry McCoy,James Howlett,355.66563145999487
Moira MacTaggert (Earth-TRN748),Scott Summers,355.41640786499875
Scott Summers,Moira MacTaggert (Earth-TRN748),355.41640786499875
Ororo Munroe,Lorna Dane,355.41640786499875
Lorna Dane,Ororo Munroe,355.41640786499875
Ororo Munroe,Henry McCoy,354.1377674149945
Henry McCoy,Ororo Munroe,354.1377674149945
Madelyne Pryor,James Howlett,353.41640786499875
James Howlett,Madelyne Pryor,353.41640786499875
Rogue (Anna Marie),Madelyne Pryor,352.94427190999915
Madelyne Pryor,Rogue (Anna Marie),352.94427190999915
X-Men,Forge,352.94427190999915
Forge,X-Men,352.94427190999915
Tabitha Smith,New Mutants,350.0
New Mutants,Tabitha Smith,350.0
Max Eisenhardt,Rahne Sinclair,348.94427190999915
Katherine Pryde,Excalibur,348.94427190999915
Excalibur,Katherine Pryde,348.94427190999915
Cameron Hodge,Scott Summers,348.94427190999915
Brian Braddock,Katherine Pryde,348.94427190999915
Rahne Sinclair,Max Eisenhardt,348.94427190999915
Scott Summers,Cameron Hodge,348.94427190999915
Meggan Puceanu,Katherine Pryde,348.94427190999915
Katherine Pryde,Brian Braddock,348.94427190999915
Katherine Pryde,Meggan Puceanu,348.94427190999915
X-Men,New Mutants,348.83281572999755
New Mutants,X-Men,348.83281572999755
Illyana Rasputina,Ororo Munroe,346.83281572999755
Ororo Munroe,Illyana Rasputina,346.83281572999755
Madelyne Pryor,Piotr Rasputin,346.36067977499795
Piotr Rasputin,Madelyne Pryor,346.36067977499795
Alexander Summers,Alison Blaire,344.0
Alison Blaire,Alexander Summers,344.0
Max Eisenhardt,Samuel Guthrie,343.41640786499875
Samuel Guthrie,Max Eisenhardt,343.41640786499875
Warren Worthington III,Cameron Hodge,338.94427190999915
Cameron Hodge,Warren Worthington III,338.94427190999915
Max Eisenhardt,Danielle Moonstar,338.94427190999915
Danielle Moonstar,Max Eisenhardt,338.94427190999915
Madelyne Pryor,Scott Summers,333.1934955049953
Scott Summers,Madelyne Pryor,333.1934955049953
Illyana Rasputina,Douglas Ramsey,332.94427190999915
Douglas Ramsey,Illyana Rasputina,332.94427190999915
Julio Richter,New Mutants,330.0
Rahne Sinclair,Tabitha Smith,330.0
Tabitha Smith,Rahne Sinclair,330.0
New Mutants,Julio Richter,330.0
Cameron Hodge,X-Factor,328.94427190999915
X-Factor,Cameron Hodge,328.94427190999915
Cameron Hodge,Henry McCoy,328.94427190999915
Henry McCoy,Cameron Hodge,328.94427190999915
Samuel Guthrie,X-Men,328.83281572999744
X-Men,Samuel Guthrie,328.83281572999744
Forge,Ororo Munroe,327.8885438199983
Ororo Munroe,Forge,327.8885438199983
Russell Collins,Tabitha Smith,324.47213595499954
Tabitha Smith,Russell Collins,324.47213595499954
Hellfire Club,Sebastian Shaw,324.0
Sebastian Shaw,Hellfire Club,324.0
Xi'an Coy Manh,New Mutants,323.41640786499875
New Mutants,Xi'an Coy Manh,323.41640786499875
Katherine Pryde,Illyana Rasputina,321.30495168499704
Illyana Rasputina,Katherine Pryde,321.30495168499704
Rahne Sinclair,Julio Richter,320.0
Julio Richter,Rahne Sinclair,320.0
Charles Xavier,New Mutants,319.1934955049955
New Mutants,Charles Xavier,319.1934955049955
Robert Drake,Cameron Hodge,318.94427190999915
Cameron Hodge,Robert Drake,318.94427190999915
Lorna Dane,Alexander Summers,318.0
Alexander Summers,Lorna Dane,318.0
Rogue (Anna Marie),Charles Xavier,316.36067977499795
Charles Xavier,Rogue (Anna Marie),316.36067977499795
Jean Grey,Sean Cassidy,315.8885438199983
Sean Cassidy,Jean Grey,315.8885438199983
Sally Blevins,Tabitha Smith,314.47213595499954
Tabitha Smith,Sally Blevins,314.47213595499954
X-Men,Roberto Da Costa,314.36067977499783
Roberto Da Costa,X-Men,314.36067977499783
Samuel Guthrie,Xi'an Coy Manh,313.41640786499875
Lorna Dane,Piotr Rasputin,313.41640786499875
Piotr Rasputin,Lorna Dane,313.41640786499875
Xi'an Coy Manh,Samuel Guthrie,313.41640786499875
Illyana Rasputina,Piotr Rasputin,313.3049516849971
Piotr Rasputin,Illyana Rasputina,313.3049516849971
Jean Grey,Russell Collins,310.0
Russell Collins,Jean Grey,310.0
Russell Collins,Scott Summers,310.0
Scott Summers,Russell Collins,310.0
Rahne Sinclair,X-Men,308.83281572999744
Ororo Munroe,Max Eisenhardt,308.83281572999744
Max Eisenhardt,Ororo Munroe,308.83281572999744
X-Men,Rahne Sinclair,308.83281572999744
Henry McCoy,Piotr Rasputin,307.1934955049954
Piotr Rasputin,Henry McCoy,307.1934955049954
Scott Summers,Rogue (Anna Marie),304.83281572999744
Rogue (Anna Marie),Scott Summers,304.83281572999744
Rachel Summers (Earth-811),Lockheed,303.41640786499875
Lockheed,Rachel Summers (Earth-811),303.41640786499875
Illyana Rasputina,Max Eisenhardt,300.94427190999915
Max Eisenhardt,Illyana Rasputina,300.94427190999915
Russell Collins,Robert Drake,300.0
Robert Drake,Russell Collins,300.0
Russell Collins,Henry McCoy,300.0
Jean Grey,Tabitha Smith,300.0
Tabitha Smith,Jean Grey,300.0
Henry McCoy,Russell Collins,300.0
Roberto Da Costa,Nathan Summers,298.94427190999915
Nathan Summers,Roberto Da Costa,298.94427190999915
James Howlett,Forge,297.41640786499875
Forge,James Howlett,297.41640786499875
Charles Xavier,Rahne Sinclair,294.72135954999584
Rahne Sinclair,Charles Xavier,294.72135954999584
Danielle Moonstar,Charles Xavier,294.72135954999584
Charles Xavier,Danielle Moonstar,294.72135954999584
Russell Collins,Julio Richter,294.47213595499954
Julio Richter,Russell Collins,294.47213595499954
Roberto Da Costa,Max Eisenhardt,293.41640786499875
Max Eisenhardt,Roberto Da Costa,293.41640786499875
Douglas Ramsey,Amara Aquilla,292.94427190999915
Amara Aquilla,Douglas Ramsey,292.94427190999915
Piotr Rasputin,Max Eisenhardt,286.72135954999584
Max Eisenhardt,Piotr Rasputin,286.72135954999584
Phoenix Force,Charles Xavier,286.7213595499958
Charles Xavier,Phoenix Force,286.7213595499958
Alexander Summers,Kurt Wagner,285.7770876399967
Kurt Wagner,Alexander Summers,285.7770876399967
Charles Xavier,Illyana Rasputina,285.77708763999664
Illyana Rasputina,Charles Xavier,285.77708763999664
Max Eisenhardt,James Howlett,285.77708763999664
James Howlett,Max Eisenhardt,285.77708763999664
Charles Xavier,Samuel Guthrie,283.6656314599949
Samuel Guthrie,Charles Xavier,283.6656314599949
Xi'an Coy Manh,Roberto Da Costa,283.41640786499875
Roberto Da Costa,Xi'an Coy Manh,283.41640786499875
Xi'an Coy Manh,Rahne Sinclair,283.41640786499875
Rahne Sinclair,Xi'an Coy Manh,283.41640786499875
Katherine Pryde (Earth-811),Kurt Wagner,282.0
Kurt Wagner,Katherine Pryde (Earth-811),282.0
Katherine Pryde (Earth-811),Rachel Summers (Earth-811),282.0
Rachel Summers (Earth-811),Katherine Pryde (Earth-811),282.0
Warlock (Technarch),Douglas Ramsey,281.88854381999835
Douglas Ramsey,Warlock (Technarch),281.88854381999835
Warren Worthington III,Charles Xavier,281.1934955049954
Charles Xavier,Warren Worthington III,281.1934955049954
Sean Cassidy,Forge,280.0
Henry McCoy,Tabitha Smith,280.0
Warren Worthington III,Russell Collins,280.0
Tabitha Smith,X-Factor,280.0
Jean Grey,Sally Blevins,280.0
Tabitha Smith,Scott Summers,280.0
X-Factor,Russell Collins,280.0
Forge,Sean Cassidy,280.0
Russell Collins,Warren Worthington III,280.0
Scott Summers,Sally Blevins,280.0
Scott Summers,Tabitha Smith,280.0
Sally Blevins,Scott Summers,280.0
Tabitha Smith,Henry McCoy,280.0
Russell Collins,X-Factor,280.0
Sally Blevins,Jean Grey,280.0
X-Factor,Tabitha Smith,280.0
Charles Xavier,Roberto Da Costa,279.1934955049953
Roberto Da Costa,Charles Xavier,279.1934955049953
Scott Summers,Lorna Dane,277.8885438199983
Lorna Dane,Scott Summers,277.8885438199983
New Mutants,Ororo Munroe,276.83281572999744
Ororo Munroe,New Mutants,276.83281572999744
Roberto Da Costa,Douglas Ramsey,276.36067977499795
Douglas Ramsey,Roberto Da Costa,276.36067977499795
Jean Grey,Charles Xavier,275.55417527999316
Charles Xavier,Jean Grey,275.55417527999316
Xi'an Coy Manh,Danielle Moonstar,275.41640786499875
Danielle Moonstar,Xi'an Coy Manh,275.41640786499875
Nathan Summers,Julio Richter,274.47213595499954
Julio Richter,Nathan Summers,274.47213595499954
Sally Blevins,Julio Richter,274.47213595499954
Julio Richter,Sally Blevins,274.47213595499954
Rachel Summers (Earth-811),X-Men,274.36067977499783
X-Men,Rachel Summers (Earth-811),274.36067977499783
Kurt Wagner,Jean Grey,274.1377674149944
Jean Grey,Kurt Wagner,274.1377674149944
X-Men,Robert Drake,273.7770876399966
Robert Drake,X-Men,273.7770876399966
St. John Allerdyce,Frederick Dukes,272.0
Frederick Dukes,St. John Allerdyce,272.0
Sally Blevins,Henry McCoy,270.0
Russell Collins,Arthur Maddicks,270.0
Robert Drake,Sally Blevins,270.0
Henry McCoy,Sally Blevins,270.0
Sally Blevins,Robert Drake,270.0
Arthur Maddicks,Russell Collins,270.0
Tabitha Smith,Robert Drake,270.0
Robert Drake,Tabitha Smith,270.0
Max Eisenhardt,Warlock (Technarch),268.94427190999915
Warlock (Technarch),Max Eisenhardt,268.94427190999915
Prosh,Nathan Summers,268.94427190999915
Nathan Summers,Prosh,268.94427190999915
En Sabah Nur,Warren Worthington III,267.8885438199983
Warren Worthington III,En Sabah Nur,267.8885438199983
Scott Summers,En Sabah Nur,267.8885438199983
En Sabah Nur,Scott Summers,267.8885438199983
Madelyne Pryor,Alexander Summers,267.41640786499875
Alexander Summers,Madelyne Pryor,267.41640786499875
Samuel Guthrie,James Proudstar,264.47213595499954
James Proudstar,Samuel Guthrie,264.47213595499954
Tabitha Smith,Warlock (Technarch),264.47213595499954
Julio Richter,Warlock (Technarch),264.47213595499954
Warlock (Technarch),Julio Richter,264.47213595499954
Warlock (Technarch),Tabitha Smith,264.47213595499954
Lockheed,Brian Braddock,263.41640786499875
Lockheed,Meggan Puceanu,263.41640786499875
Meggan Puceanu,Lockheed,263.41640786499875
Lockheed,Excalibur,263.41640786499875
Brian Braddock,Lockheed,263.41640786499875
Excalibur,Lockheed,263.41640786499875
Robert Drake,James Howlett,263.30495168499704
James Howlett,Robert Drake,263.30495168499704
Warren Worthington III,Kurt Wagner,262.8328157299975
