,character name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235
10,Jean Grey,4516,4516,4500,4500,3716,10024,2372,2212,4252,4156,10880,10876,10876,10872,8424,2328,2308,2328,2308,108,2996,7976,1352,320,8416,1288,100,700,104,600,340,204,200,744,1676,1576,1576,1476,244,24,788,500,864,864,40,40,40,44,40,40,104,204,104,400,104,324,0,24,20,712,208,380,364,220,708,240,644,424,524,1084,664,220,220,220,220,300,920,808,240,100,400,124,1124,1124,524,804,604,0,60,200,2020,184,100,140,1632,40,64,340,1380,1480,1480,1480,380,1380,1880,1124,24,324,940,620,20,0,604,0,64,2000,140,2104,0,44,20,100,880,0,100,0,0,300,804,404,3992,3992,3992,3992,3912,3912,3912,3912,4072,4072,4072,4072,3992,3992,3992,3992,340,320,824,320,540,520,520,320,8224,2164,100,0,624,520,500,300,300,264,220,120,120,20,1140,2600,3540,300,500,800,600,300,700,740,600,2480,4520,4440,1220,600,500,20,20,20,120,360,220,1600,400,600,1300,100,1400,3000,2600,100,0,0,0,0,0,2600,2800,3100,0,0,0,100,0,0,0,100,0,0,100,100,700,1120,1120,1100,600,600,600,600,600,900,360,20,0,0,0,0
11,Jean Grey,4496,4496,4480,4480,3696,10020,2352,2212,4232,4136,10876,10876,10872,10872,8420,2328,2308,2328,2308,108,2996,7972,1352,320,8412,1288,100,700,104,600,340,204,200,744,1676,1576,1576,1476,224,24,788,500,864,864,40,40,40,44,40,40,104,204,104,400,104,324,0,24,20,712,204,380,344,220,688,240,644,424,524,1084,664,220,220,220,220,300,900,808,240,100,380,124,1124,1124,524,804,604,0,60,200,2020,184,100,140,1612,40,64,340,1380,1480,1480,1480,380,1380,1880,1124,24,324,940,620,20,0,604,0,64,2000,140,2104,0,44,0,100,880,0,100,0,0,300,804,404,3992,3992,3992,3992,3912,3912,3912,3912,4072,4072,4072,4072,3992,3992,3992,3992,340,320,824,320,540,520,520,320,8224,2164,100,0,624,520,500,300,300,264,220,120,120,20,1140,2600,3540,300,500,800,600,300,700,740,600,2480,4520,4440,1220,600,500,20,20,20,120,360,220,1600,400,600,1300,100,1400,3000,2600,100,0,0,0,0,0,2600,2800,3100,0,0,0,100,0,0,0,100,0,0,100,100,700,1120,1120,1100,600,600,600,600,600,900,360,20,0,0,0,0
12,Jean Grey,4496,4496,4480,4480,3696,10004,2352,2212,4232,4136,10876,10872,10876,10872,8420,2308,2288,2308,2288,108,2976,7972,1352,320,8412,1268,100,700,104,600,340,204,200,744,1676,1576,1576,1476,244,4,788,500,844,844,40,40,40,44,40,40,104,204,104,400,104,324,0,24,20,712,208,380,364,220,708,240,644,424,524,1084,664,220,220,220,220,300,920,808,240,100,400,124,1124,1124,524,804,604,0,60,200,2020,184,100,140,1632,40,64,340,1380,1480,1480,1480,380,1380,1880,1124,24,324,940,620,20,0,604,0,64,2000,140,2104,0,44,20,100,880,0,100,0,0,300,804,404,3992,3992,3992,3992,3912,3912,3912,3912,4072,4072,4072,4072,3992,3992,3992,3992,340,320,824,320,540,520,520,320,8224,2164,100,0,624,520,500,300,300,264,220,120,120,20,1140,2600,3540,300,500,800,600,300,700,740,600,2480,4520,4440,1220,600,500,20,20,20,120,360,220,1600,400,600,1300,100,1400,3000,2600,100,0,0,0,0,0,2600,2800,3100,0,0,0,100,0,0,0,100,0,0,100,100,700,1120,1120,1100,600,600,600,600,600,900,360,20,0,0,0,0
13,Jean Grey,4476,4476,4460,4460,3676,10000,2332,2212,4212,4116,10872,10872,10872,10872,8416,2308,2288,2308,2288,108,2976,7968,1352,320,8408,1268,100,700,104,600,340,204,200,744,1676,1576,1576,1476,224,4,788,500,844,844,40,40,40,44,40,40,104,204,104,400,104,324,0,24,20,712,204,380,344,220,688,240,644,424,524,1084,664,220,220,220,220,300,900,808,240,100,380,124,1124,1124,524,804,604,0,60,200,2020,184,100,140,1612,40,64,340,1380,1480,1480,1480,380,1380,1880,1124,24,324,940,620,20,0,604,0,64,2000,140,2104,0,44,0,100,880,0,100,0,0,300,804,404,3992,3992,3992,3992,3912,3912,3912,3912,4072,4072,4072,4072,3992,3992,3992,3992,340,320,824,320,540,520,520,320,8224,2164,100,0,624,520,500,300,300,264,220,120,120,20,1140,2600,3540,300,500,800,600,300,700,740,600,2480,4520,4440,1220,600,500,20,20,20,120,360,220,1600,400,600,1300,100,1400,3000,2600,100,0,0,0,0,0,2600,2800,3100,0,0,0,100,0,0,0,100,0,0,100,100,700,1120,1120,1100,600,600,600,600,600,900,360,20,0,0,0,0
14,Warren Worthington III,3968,3968,3952,3952,3352,9232,2432,1880,3644,3788,8424,8420,8420,8416,9836,2524,2504,2524,2504,120,2084,8048,1080,220,8088,1220,0,580,220,220,100,20,100,560,1104,1104,1104,1104,160,24,824,420,940,940,40,40,40,60,40,40,120,224,140,320,20,240,0,320,300,484,124,120,380,100,1384,240,760,340,220,724,880,320,100,100,100,404,720,1124,600,200,320,424,1420,1420,800,1000,804,120,620,300,2320,40,4,120,1148,40,24,300,1040,1140,1140,1140,140,1040,1580,1124,224,324,1120,620,0,20,420,20,24,1900,140,1500,0,24,20,100,560,0,100,0,0,100,800,400,3484,3484,3484,3484,3404,3404,3404,3404,3564,3564,3564,3564,3484,3484,3484,3484,120,100,604,300,420,300,400,200,7424,1404,0,0,600,300,400,200,300,120,0,0,0,0,1040,2200,3340,100,200,600,600,100,600,400,400,2580,4220,4220,900,500,400,0,0,20,120,100,100,1100,300,400,1200,100,1200,2600,2300,100,0,0,0,0,0,2400,2500,2800,0,0,0,100,0,0,0,100,0,0,100,100,700,1120,1120,1100,700,700,700,700,700,900,100,0,0,0,0,0
15,Charles Xavier,9632,9632,9552,9552,8756,6812,7888,1724,8048,9060,2328,2328,2308,2308,2524,11176,11172,11076,11072,340,3764,1224,1700,360,1808,3704,700,4400,1140,1000,204,420,100,1684,2604,2504,2504,2404,424,720,2284,1000,960,960,1900,1720,1120,2200,1620,1620,820,1040,620,800,140,504,200,420,400,1080,120,220,2660,100,4704,960,1740,540,440,504,260,700,300,300,300,520,700,600,1740,600,1440,660,1040,1040,540,460,460,540,1424,420,600,1464,620,820,3008,320,1128,1200,2920,2540,2540,2700,2700,2520,1136,960,540,720,204,320,400,420,540,600,1324,100,560,1324,100,1204,200,220,920,140,144,340,124,340,40,40,484,484,484,484,468,468,468,468,484,484,484,484,468,468,468,468,180,220,140,0,100,120,100,100,740,844,460,460,20,120,0,0,0,20,120,100,100,100,224,20,140,0,0,0,0,0,0,100,0,228,280,280,920,0,0,300,200,320,320,200,200,320,700,420,20,0,800,140,100,400,24,24,24,0,0,20,20,40,0,0,0,20,0,20,0,20,4,0,20,20,20,104,104,120,100,100,100,100,100,0,200,0,0,0,0,0
16,Charles Xavier,9632,9632,9552,9552,8752,6792,7888,1724,8048,9056,2308,2308,2288,2288,2504,11172,11172,11072,11072,340,3764,1204,1700,360,1788,3704,700,4400,1140,1000,204,420,100,1684,2604,2504,2504,2404,424,720,2284,1000,960,960,1900,1720,1120,2200,1620,1620,820,1040,620,800,140,504,200,420,400,1080,120,220,2660,100,4704,960,1740,540,440,504,260,700,300,300,300,520,700,600,1740,600,1440,660,1040,1040,540,460,460,540,1424,420,600,1464,620,820,3008,320,1128,1200,2920,2540,2540,2700,2700,2520,1136,960,540,720,204,320,400,420,540,600,1324,100,560,1324,100,1204,200,220,920,140,144,340,124,340,40,40,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,180,220,140,0,100,120,100,100,720,844,460,460,20,120,0,0,0,20,120,100,100,100,224,20,140,0,0,0,0,0,0,100,0,208,260,260,920,0,0,300,200,320,320,200,200,320,700,420,0,0,800,140,100,400,24,24,24,0,0,20,20,40,0,0,0,20,0,20,0,20,4,0,20,20,20,104,104,120,100,100,100,100,100,0,200,0,0,0,0,0
17,Charles Xavier,9532,9532,9452,9452,8656,6812,7888,1724,7948,8960,2328,2328,2308,2308,2524,11076,11072,11076,11072,340,3764,1224,1700,360,1808,3704,700,4300,1140,1000,204,420,100,1684,2604,2504,2504,2404,424,720,2184,1000,960,960,1800,1620,1120,2100,1520,1520,820,1040,620,800,140,504,200,420,400,1080,120,220,2660,100,4604,960,1740,540,440,504,260,700,300,300,300,520,700,600,1740,600,1340,660,1040,1040,540,460,460,540,1424,420,600,1444,620,820,2908,320,1128,1200,2920,2540,2540,2700,2700,2520,1136,960,540,720,204,320,400,420,540,600,1324,100,560,1324,100,1204,200,220,920,140,144,340,124,340,40,40,484,484,484,484,468,468,468,468,484,484,484,484,468,468,468,468,180,220,140,0,100,120,100,100,740,844,460,460,20,120,0,0,0,20,120,100,100,100,224,20,140,0,0,0,0,0,0,100,0,228,280,280,920,0,0,300,200,320,320,200,200,320,700,420,20,0,800,140,100,400,24,24,24,0,0,20,20,40,0,0,0,20,0,20,0,20,4,0,20,20,20,104,104,120,100,100,100,100,100,0,200,0,0,0,0,0
18,Charles Xavier,9532,9532,9452,9452,8652,6792,7888,1724,7948,8956,2308,2308,2288,2288,2504,11072,11072,11072,11072,340,3764,1204,1700,360,1788,3704,700,4300,1140,1000,204,420,100,1684,2604,2504,2504,2404,424,720,2184,1000,960,960,1800,1620,1120,2100,1520,1520,820,1040,620,800,140,504,200,420,400,1080,120,220,2660,100,4604,960,1740,540,440,504,260,700,300,300,300,520,700,600,1740,600,1340,660,1040,1040,540,460,460,540,1424,420,600,1444,620,820,2908,320,1128,1200,2920,2540,2540,2700,2700,2520,1136,960,540,720,204,320,400,420,540,600,1324,100,560,1324,100,1204,200,220,920,140,144,340,124,340,40,40,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,180,220,140,0,100,120,100,100,720,844,460,460,20,120,0,0,0,20,120,100,100,100,224,20,140,0,0,0,0,0,0,100,0,208,260,260,920,0,0,300,200,320,320,200,200,320,700,420,0,0,800,140,100,400,24,24,24,0,0,20,20,40,0,0,0,20,0,20,0,20,4,0,20,20,20,104,104,120,100,100,100,100,100,0,200,0,0,0,0,0
19,Shiro Yoshida,544,544,544,544,540,520,560,208,724,544,108,108,108,108,120,340,340,340,340,712,408,124,208,20,40,104,0,120,0,0,0,4,0,4,104,104,104,104,4,300,4,100,20,20,0,0,0,0,0,0,4,4,4,0,4,400,300,4,0,4,4,20,0,0,20,0,4,4,4,0,4,0,0,0,0,100,0,4,0,0,40,0,20,20,0,0,0,0,0,0,0,0,0,0,120,0,0,100,200,200,200,200,0,200,100,0,0,0,0,0,0,20,20,20,0,0,20,20,0,0,0,0,200,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,200,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
20,Sean Cassidy,6552,6552,6552,6552,5468,5364,4684,2368,6148,6372,2996,2996,2976,2976,2084,3764,3764,3764,3764,408,7720,1668,2208,240,2348,3548,300,1644,724,700,360,704,400,444,2412,2412,2412,2412,704,1020,1384,1020,640,640,520,504,404,524,404,404,604,604,404,300,324,500,700,604,600,524,304,160,460,0,560,200,324,324,604,404,224,0,500,500,500,200,100,104,700,0,140,0,400,400,200,100,100,0,500,400,100,64,400,4,944,20,204,240,1260,1260,1260,1140,440,1060,140,800,300,1000,0,420,0,0,500,0,324,0,20,2800,0,104,100,100,640,100,200,200,100,720,200,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,20,500,20,0,0,0,0,0,1520,1904,600,500,0,0,0,100,0,20,500,400,400,300,120,300,800,400,600,800,600,400,600,0,600,0,420,340,1600,0,0,200,300,420,420,40,0,2100,900,700,300,0,1500,900,900,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,100,0,100,100,100,0,0,0,0,0,0,0,0,0,100,40,0,0,0,100,100
21,Robert Drake,2472,2472,2456,2456,1852,8532,1052,1628,2444,2292,7976,7972,7972,7968,8048,1224,1204,1224,1204,124,1668,8540,1028,320,8056,680,0,260,120,0,100,20,100,160,584,584,584,584,160,24,724,400,840,840,40,40,40,44,40,40,20,20,20,0,120,240,0,320,300,224,24,140,380,100,484,120,260,40,20,504,580,120,0,0,0,0,620,824,200,0,160,104,1104,1104,504,804,604,20,340,200,2020,40,0,140,948,20,44,200,1060,1160,1160,1160,260,1060,1400,824,24,24,920,320,0,20,324,20,44,2000,140,1300,0,44,20,100,580,0,100,0,0,100,804,404,3384,3384,3384,3384,3304,3304,3304,3304,3464,3464,3464,3464,3384,3384,3384,3384,240,100,604,300,420,300,400,200,7524,1304,0,0,600,300,400,200,300,20,0,0,0,0,940,2100,3140,100,100,500,500,100,500,400,400,2480,4320,4320,900,500,400,0,0,20,120,120,100,900,300,400,1200,100,1100,2700,2400,100,0,0,0,0,0,2500,2700,3000,0,0,0,100,0,0,0,100,0,0,100,100,700,1120,1120,1100,700,700,700,700,700,1000,120,0,0,0,0,0
22,Lorna Dane,3764,3764,3764,3764,3060,2680,1980,3116,3480,3464,1352,1352,1352,1352,1080,1700,1700,1700,1700,208,2208,1028,4016,20,844,2224,300,840,420,200,140,224,100,204,1204,1104,1204,1104,424,500,644,1020,640,640,300,300,300,508,200,200,104,124,204,100,4,240,300,404,400,424,4,120,260,100,660,200,104,104,504,1200,104,0,500,500,500,20,200,124,200,0,120,100,700,600,200,100,120,0,320,200,0,440,20,0,1640,0,0,120,40,140,140,120,20,40,740,100,100,300,0,100,20,0,200,0,20,0,100,820,200,0,0,0,0,0,100,0,0,100,200,0,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,0,400,800,400,400,900,500,400,700,1800,300,200,600,600,100,200,0,540,500,500,400,300,100,200,0,0,0,0,0,0,0,300,0,0,100,100,600,0,0,100,200,300,500,120,100,700,800,300,0,0,400,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0
